Designator,Mid X,Mid Y,Rotation,Layer
D1,113.77,-108.5,0.0,top
J21,137.5,-108.52,90.0,top
J3,137.63,-85.35,0.0,top
R1,147.46,-102.5,0.0,top
R2,139.46,-102.5,180.0,top
R3,119.5,-102.5,0.0,top
R4,127.46,-102.5,180.0,top
R5,114.04,-116.0,180.0,top
