Designator,Footprint,Quantity,Value,LCSC Part #
J1,DIP-14_W7.62mm_LongPads,1,74HC00 (U13),
U1,DIP-14_W7.62mm_LongPads,1,74HC00,
U2,DIP-14_W7.62mm_LongPads,1,74HC02,
